Date,Cost
2025-04-25,1042.19
2025-04-25,4718.06
2025-04-25,1466
2025-04-25,8297.41
2025-04-25,2126.26
2025-04-26,1527.01
2025-04-26,1794.13
2025-04-26,4644.37
2025-04-26,4123.62
2025-04-26,721.92
2025-04-26,9406.51
2025-04-26,4952.53
2025-04-26,503.37
2025-04-26,850.6
2025-04-26,5638.47
2025-04-26,5679.86
2025-04-26,7915.07
2025-04-26,1392.52
2025-04-27,1507.98
2025-04-27,1792.64
2025-04-27,4581.39
2025-04-27,4063.96
2025-04-27,722.67
2025-04-27,5937
2025-04-27,4901.53
2025-04-27,329.75
2025-04-27,779.34
2025-04-27,4609.76
2025-04-27,4255.45
2025-04-27,7636.21
2025-04-27,1000.5
2025-04-28,2000.48
2025-04-28,1792.3
2025-04-28,4968.01
2025-04-28,4478.5
2025-04-28,2370.25
2025-04-28,9266.64
2025-04-28,4852.68
2025-04-28,243.81
2025-04-28,1452.94
2025-04-28,780.17
2025-04-28,5229.26
2025-04-28,14002.24
2025-04-28,8792.5
2025-04-28,1715.17
2025-04-29,2055.91
2025-04-29,1785.59
2025-04-29,5061.77
2025-04-29,4610.35
2025-04-29,2392.17
2025-04-29,8040.12
2025-04-29,4797.45
2025-04-29,278.67
2025-04-29,1464.84
2025-04-29,782.57
2025-04-29,4010.39
2025-04-29,10205.44
2025-04-29,7938.92
2025-04-29,1550.81
2025-04-30,1944.22
2025-04-30,3182.89
2025-04-30,2677.25
2025-04-30,2667.61
2025-04-30,2408.01
2025-04-30,6651.75
2025-04-30,4489.42
2025-04-30,88.24
2025-04-30,1116.06
2025-04-30,677.37
2025-04-30,3236.03
2025-04-30,9817.47
2025-04-30,7275.47
2025-04-30,1370.18
2025-05-01,1957.69
2025-05-01,3176.81
2025-05-01,2216.47
2025-05-01,2206.06
2025-05-01,3199.2
2025-05-01,4130.99
2025-05-01,1134.38
2025-05-01,406.58
2025-05-01,2922.35
2025-05-01,4660.63
2025-05-01,304.3
2025-05-02,2051.47
2025-05-02,5835.41
2025-05-02,3505.53
2025-05-02,3983.75
2025-05-02,3329.11
2025-05-02,4322.15
2025-05-02,1338.02
2025-05-02,1166.49
2025-05-02,3034.64
2025-05-02,1815.78
2025-05-02,679.9
2025-05-03,2048.32
2025-05-03,5846.75
2025-05-03,3719.08
2025-05-03,4195.85
2025-05-03,3259.73
2025-05-03,4203.24
2025-05-03,1219.19
2025-05-03,2244.12
2025-05-03,2223.13
2025-05-04,2047.4
2025-05-04,5835.03
2025-05-04,3611.38
2025-05-04,4173.47
2025-05-04,2975.72
2025-05-04,4233.07
2025-05-04,1060.01
2025-05-04,1845.85
2025-05-04,2081.76
2025-05-05,1999.42
2025-05-05,2597.77
2025-05-05,1565.91
2025-05-05,1991.23
2025-05-05,2694.55
2025-05-05,4333.25
2025-05-05,679.28
2025-05-05,810.98
2025-05-05,1078.29
2025-05-05,1174.72
2025-05-05,9.64
2025-05-05,7.5
2025-05-06,2184.36
2025-05-06,5969.19
2025-05-06,5736.92
2025-05-06,6396.02
2025-05-06,3637.84
2025-05-06,4240.33
2025-05-06,781.82
2025-05-06,1017.34
2025-05-06,2438.39
2025-05-06,1863.99
2025-05-06,0
2025-05-06,0
2025-05-06,1324.19
2025-05-06,100.83
2025-05-06,894.57
2025-05-06,4.44
2025-05-07,2002.36
2025-05-07,5924.34
2025-05-07,4064.87
2025-05-07,4645.08
2025-05-07,4233.02
2025-05-07,4279.66
2025-05-07,3998.5
2025-05-07,4004.27
2025-05-07,2107.53
2025-05-07,1355.49
2025-05-07,264.5
2025-05-07,221.38
2025-05-07,988.62
2025-05-07,1603.82
2025-05-07,1933.54
2025-05-07,5.79
2025-05-08,2030.93
2025-05-08,5973.51
2025-05-08,3845.36
2025-05-08,4356.73
2025-05-08,3843.63
2025-05-08,4263.74
2025-05-08,2158.56
2025-05-08,2191.84
2025-05-08,1768.12
2025-05-08,1404.21
2025-05-08,2105.11
2025-05-08,2197.79
2025-05-08,1699.49
2025-05-08,876.22
2025-05-08,1278.23
2025-05-08,48.43
2025-05-09,2009.56
2025-05-09,5976.22
2025-05-09,3754.83
2025-05-09,4312.93
2025-05-09,4416.67
2025-05-09,4300.91
2025-05-09,1669.73
2025-05-09,1927
2025-05-09,342.47
